id,marka,seri,model,yil,kilometre,vites_tipi,yakit_tipi,kasa_tipi,renk,motor_hacmi,motor_gucu,degisen_sayisi,boyali_sayisi,kimden,fiyat
43774,Renault,Clio,1.5 dCi SportTourer Icon,2016.0,175000.0,Düz,Dizel,Station wagon,Kırmızı,1461.0,90.0,1.0,2.0,Sahibinden,709000.0
43775,Renault,Symbol,1.4 Expression,2009.0,127800.0,Düz,LPG & Benzin,Sedan,Gri (Gümüş),1390.0,75.0,0.0,0.0,Sahibinden,525000.0
43776,Renault,Megane,1.5 dCi Touch Plus,2017.0,208000.0,Otomatik,Benzin,Sedan,Beyaz,1500.0,113.0,0.0,4.0,Galeriden,885000.0
43778,Renault,Megane,1.6 RTE,1998.0,295000.0,Düz,LPG & Benzin,Sedan,Lacivert,1598.0,90.0,0.0,0.0,Sahibinden,220000.0
43779,Renault,R 9,1.4 Broadway,1992.0,274000.0,Düz,Benzin,Sedan,Yeşil,1390.0,83.0,0.0,0.0,Galeriden,197000.0
43780,Renault,Laguna,2.0 RXT,2000.0,302055.0,Otomatik,Benzin,Hatchback/5,Beyaz,1998.0,114.0,0.0,4.0,Galeriden,243500.0
43781,Peugeot,208,1.2 PureTech Prime,2021.0,49000.0,Otomatik,Benzin,Hatchback/5,Gri,1200.0,88.0,0.0,2.0,Galeriden,1069000.0
43782,Renault,Clio,1.5 dCi Icon,2013.0,213000.0,Düz,Benzin,Hatchback/5,Siyah,1461.0,90.0,0.0,0.0,Galeriden,609000.0
43783,Renault,Clio,1.5 dCi SportTourer Touch,2018.0,159000.0,Otomatik,Benzin,Station wagon,Beyaz,1500.0,88.0,0.0,1.0,Galeriden,835000.0
43784,Renault,Clio,1.5 dCi Joy,2019.0,151000.0,Düz,Benzin,Hatchback/5,Beyaz,1461.0,75.0,0.0,1.0,Galeriden,710000.0
43786,Peugeot,308,1.6 VTi Comfort Pack,2011.0,158000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1598.0,122.0,0.0,2.0,Galeriden,575000.0
43787,Renault,Clio,1.2 Extreme,2009.0,115000.0,Yarı Otomatik,Benzin,Hatchback/5,Siyah,1149.0,80.0,0.0,6.0,Sahibinden,529000.0
43788,Renault,Scenic,1.5 dCi Privilege,2012.0,135000.0,Otomatik,Benzin,MPV,Beyaz,1500.0,113.0,1.0,4.0,Galeriden,675000.0
43790,Renault,Megane,1.6 Joy,2017.0,135000.0,Düz,LPG & Benzin,Sedan,Beyaz,1598.0,115.0,1.0,1.0,Sahibinden,690000.0
43791,Renault,Megane,1.4 Authentique,2005.0,99500.0,Düz,Benzin,Hatchback/5,Kırmızı,1390.0,98.0,2.0,2.0,Sahibinden,530000.0
43792,Renault,Clio,1.5 dCi Icon,2017.0,89000.0,Düz,Benzin,Hatchback/5,Beyaz,1461.0,90.0,0.0,1.0,Galeriden,839000.0
43793,Renault,Clio,1.5 dCi Joy,2015.0,187000.0,Düz,Benzin,Hatchback/5,Beyaz,1461.0,75.0,1.0,3.0,Galeriden,610000.0
43794,Renault,Symbol,1.4 Expression,2008.0,240000.0,Düz,Benzin,Sedan,Gri,1390.0,75.0,0.0,0.0,Galeriden,365000.0
43795,Renault,Clio,1.4 RNA,2000.0,238000.0,Düz,LPG & Benzin,Sedan,Mavi,1390.0,75.0,1.0,4.0,Sahibinden,260000.0
43796,Renault,Clio,1.3 TCe Touch,2020.0,206000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1300.0,138.0,0.0,0.0,Galeriden,839000.0
43797,Renault,Clio,1.0 TCe Touch,2023.0,69000.0,Otomatik,Benzin,Hatchback/5,Beyaz,1200.0,88.0,0.0,0.0,Galeriden,1055000.0
